Stephen Curry,48070014,PG,34,GSW,56,56,34.7,10.0,20.2,4.9,11.4,5.1,8.8,0.7,5.4,6.3,0.9,0.4,2.1,29.4,1941,24.1
RJ Barrett,10900634,SG,22,NYK,73,73,33.9,7.0,16.1,1.7,5.3,5.3,10.8,0.8,4.2,2.8,0.4,0.2,2.5,19.6,2475,12.9
Bobby Portis,10843350,PF,27,MIL,70,22,26.0,5.7,11.5,1.4,3.7,4.3,7.8,2.2,7.4,1.5,0.4,0.2,1.6,14.1,1818,17.8
DeAndre Jordan,10733758,C,34,DEN,39,8,15.0,2.3,2.9,0.0,0.0,2.2,2.9,1.3,3.8,0.9,0.3,0.6,1.8,5.1,586,14.7
Anthony Edwards,10733400,SG,21,MIN,79,79,36.0,8.9,19.5,2.7,7.3,6.3,12.2,0.6,5.2,4.4,1.6,0.7,2.4,24.6,2842,17.4
Robert Williams,10714287,C,25,BOS,35,20,23.5,3.6,4.9,0.0,0.0,3.6,4.8,3.0,5.4,1.4,0.6,1.4,1.9,8.0,824,19.8
Cade Cunningham,10552800,PG,21,DET,12,12,33.3,7.8,18.7,1.4,5.1,6.3,13.6,1.0,5.2,6.0,0.8,0.6,2.8,19.9,400,14.0
Mo Bamba,10300000,C,24,LAL/ORL,49,7,15.7,2.4,4.9,1.0,2.5,1.4,2.4,1.2,3.4,0.9,0.3,0.9,2.1,6.6,769,15.7
Talen Horton-Tucker,10260000,SG,22,UTA,65,20,20.2,4.0,9.4,0.9,3.1,3.1,6.3,0.6,2.6,3.8,0.6,0.4,1.7,10.7,1313,13.7
Jae Crowder,10183800,PF,32,MIL,18,3,18.9,2.5,5.2,1.3,3.1,1.2,2.2,0.9,2.9,1.5,0.7,0.3,1.5,6.9,340,14.6
Ivica Zubac,10123457,C,25,LAC,76,76,28.6,4.3,6.8,0.0,0.0,4.3,6.7,3.1,6.8,1.0,0.4,1.3,2.9,10.8,2170,16.7
Reggie Bullock,10012800,SF,31,DAL,78,55,30.3,2.5,6.0,1.9,5.1,0.5,0.9,0.4,3.2,1.4,0.7,0.2,2.1,7.2,2364,7.7
Alec Burks,10012800,SG,31,DET,51,8,22.0,3.9,9.0,1.9,4.7,2.0,4.3,0.4,2.7,2.2,0.7,0.2,1.9,12.8,1122,16.5
De'Andre Hunter,9835881,SF,25,ATL,67,67,31.7,5.7,12.3,1.5,4.3,4.2,8.0,0.7,3.6,1.4,0.5,0.3,3.0,15.4,2126,11.5
James Wiseman,9603360,C,21,GSW/DET,45,22,19.3,4.2,7.5,0.1,0.4,4.1,7.1,1.6,4.3,0.7,0.2,0.6,2.4,10.0,867,15.6
Landry Shamet,9500000,SG,25,PHO,40,9,20.2,2.8,7.5,1.9,5.0,1.0,2.5,0.3,1.4,2.3,0.7,0.1,1.5,8.7,807,10.9
Malik Monk,9472219,SG,24,SAC,77,0,22.3,4.6,10.3,1.9,5.2,2.8,5.2,0.4,2.2,3.9,0.6,0.3,1.6,13.5,1719,16.6
Jalen Green,9441840,SG,20,HOU,76,76,34.2,7.4,17.9,2.5,7.3,5.0,10.6,0.6,3.2,3.7,0.8,0.2,1.7,22.1,2602,14.5
Jakob Poeltl,9398148,C,27,SAS/TOR,72,71,26.5,5.4,8.6,0.0,0.0,5.4,8.6,3.3,5.8,2.7,0.9,1.2,2.7,12.5,1906,21.0
Nerlens Noel,9391069,C,28,BRK/DET,17,4,11.5,0.8,2.1,0.1,0.1,0.7,2.0,0.6,2.1,0.6,0.9,0.6,1.9,2.1,195,7.9
Royce O'Neale,9200000,SF,29,BRK,76,53,31.7,3.0,7.8,2.1,5.5,0.9,2.3,0.7,4.3,3.7,0.9,0.6,3.1,8.8,2409,9.2
Monte Morris,9125000,PG,27,WAS,62,61,27.3,4.0,8.3,1.3,3.3,2.7,5.0,0.4,3.0,5.3,0.7,0.2,1.2,10.3,1695,15.0
Mason Plumlee,9080417,C,32,LAC/CHO,79,60,26.0,4.2,6.1,0.0,0.0,4.2,6.1,2.9,6.0,3.1,0.6,0.6,2.7,10.8,2054,19.6
Alex Caruso,9030000,PG,28,CHI,67,36,23.5,1.9,4.3,0.8,2.3,1.1,2.0,0.6,2.3,2.9,1.5,0.7,2.4,5.6,1575,11.5
Maxi Kleber,9000000,PF,31,DAL,37,5,25.1,2.1,4.6,1.1,3.0,1.0,1.5,0.8,2.8,1.4,0.3,0.8,2.3,5.9,930,8.7
Grayson Allen,8925000,SG,27,MIL,72,70,27.4,3.4,7.7,2.0,5.1,1.4,2.7,0.8,2.4,2.3,0.9,0.2,1.6,10.4,1972,12.3
Darius Garland,8920794,PG,23,CLE,69,69,35.5,7.6,16.4,2.4,6.0,5.1,10.4,0.4,2.3,7.8,1.2,0.1,2.1,21.6,2447,18.8
Isaiah Hartenstein,8854879,C,24,NYK,82,8,19.8,2.1,4.0,0.1,0.5,2.0,3.5,2.5,4.0,1.2,0.6,0.8,2.6,5.0,1626,14.2
Kyle Anderson,8780488,PF,29,MIN,69,46,28.4,3.7,7.2,0.6,1.5,3.0,5.7,1.0,4.4,4.9,1.1,0.9,2.1,9.4,1957,14.8
Victor Oladipo,8750000,SG,30,MIA,42,2,26.3,3.8,9.6,1.7,5.0,2.1,4.5,0.4,2.7,3.5,1.4,0.3,2.4,10.7,1106,10.6
Daniel Theis,8694369,C,30,IND,7,1,15.6,3.0,6.3,0.3,1.6,2.7,4.7,1.0,2.1,1.3,0.3,0.9,1.0,7.0,109,14.2
LaMelo Ball,8623920,PG,21,CHO,36,36,35.2,8.2,20.0,4.0,10.6,4.2,9.4,1.2,5.3,8.4,1.3,0.3,3.3,23.3,1268,17.9
Seth Curry,8496653,SG,32,BRK,61,7,19.9,3.4,7.4,1.5,3.8,1.9,3.6,0.2,1.4,1.6,0.6,0.1,1.6,9.2,1211,12.3
Evan Mobley,8478720,PF,21,CLE,79,79,34.4,6.6,12.0,0.3,1.3,6.4,10.7,2.4,6.6,2.8,0.8,1.5,2.8,16.2,2715,17.9
Gary Payton II,8300000,SG,30,GSW/POR,22,1,16.7,1.9,3.1,0.6,1.2,1.3,2.0,1.1,2.0,1.4,1.0,0.2,2.0,4.6,367,13.3
Dewayne Dedmon,8283688,C,33,PHI/MIA,38,1,11.2,2.0,4.0,0.3,1.0,1.7,2.9,0.9,2.6,0.7,0.2,0.5,2.0,5.2,426,15.5
De'Anthony Melton,8250000,SG,24,PHI,77,58,27.9,3.6,8.5,2.0,5.2,1.6,3.2,0.9,3.2,2.6,1.6,0.5,2.5,10.1,2150,12.7
JaMychal Green,8200000,PF,32,GSW,57,1,14.0,2.4,4.4,0.7,1.9,1.6,2.5,1.3,2.3,0.9,0.4,0.4,1.8,6.4,797,15.5
Keegan Murray,8008440,SF,22,SAC,80,78,29.8,4.4,9.8,2.6,6.3,1.9,3.5,1.1,3.5,1.2,0.8,0.5,2.0,12.2,2382,12.3
Kevon Looney,8000000,C,26,GSW,82,70,23.9,3.0,4.7,0.0,0.0,3.0,4.7,3.3,5.9,2.5,0.6,0.6,2.7,7.0,1958,17.8
Thaddeus Young,8000000,PF,34,TOR,54,9,14.7,2.0,3.7,0.1,0.6,1.9,3.0,1.3,1.8,1.4,1.0,0.1,1.6,4.4,795,14.1
Delon Wright,7804878,PG,30,WAS,50,14,24.4,2.8,5.8,0.8,2.4,1.9,3.4,1.2,2.4,3.9,1.8,0.3,1.2,7.4,1221,16.3
Patrick Williams,7775400,PF,21,CHI,82,65,28.3,3.8,8.3,1.4,3.4,2.4,4.9,1.0,3.0,1.2,0.9,0.9,1.8,10.2,2323,11.2
Scottie Barnes,7644600,SF,21,TOR,77,76,34.8,6.0,13.2,0.8,2.9,5.2,10.3,2.3,4.3,4.8,1.1,0.8,2.2,15.3,2678,15.5
Cedi Osman,7426088,SF,27,CLE,77,2,20.1,3.1,6.9,1.5,4.1,1.6,2.8,0.3,2.0,1.5,0.5,0.1,1.6,8.7,1548,12.0
Coby White,7413955,SG,22,CHI,74,2,23.4,3.6,8.0,1.7,4.6,1.8,3.4,0.2,2.6,2.8,0.7,0.1,1.6,9.7,1730,12.5
Zach Collins,7350000,C,25,SAS,63,26,22.9,4.5,8.7,0.9,2.3,3.6,6.4,1.8,4.5,2.9,0.6,0.8,3.2,11.6,1441,16.4
Jaden Ivey,7252200,SG,20,DET,74,73,31.1,5.5,13.3,1.6,4.7,3.9,8.6,1.0,2.9,5.2,0.8,0.2,3.3,16.3,2304,12.1
Taurean Prince,7100000,PF,28,MIN,54,4,22.1,3.3,7.0,1.4,3.6,1.9,3.4,0.3,2.2,1.6,0.5,0.3,2.3,9.1,1192,10.0
Jae'Sean Tate,7065217,SF,27,HOU,31,7,21.8,3.5,7.4,0.4,1.5,3.1,5.9,1.3,2.5,2.7,0.7,0.2,3.4,9.1,677,12.2
Isaac Okoro,7040880,SF,22,CLE,76,46,21.7,2.3,4.7,0.8,2.3,1.5,2.4,0.7,1.8,1.1,0.7,0.4,2.1,6.4,1652,10.7
Cody Martin,7000000,SF,27,CHO,7,0,19.1,2.0,5.1,0.4,2.0,1.6,3.1,1.1,2.3,1.6,0.6,0.1,1.9,5.0,134,8.7
Jalen Suggs,6922320,SG,21,ORL,53,19,23.5,3.5,8.4,1.2,3.8,2.3,4.6,1.0,2.0,2.9,1.3,0.5,2.3,9.9,1246,12.5
Jaxson Hayes,6803012,C,22,NOP,47,2,13.0,1.8,3.3,0.1,0.6,1.8,2.7,0.8,2.0,0.7,0.4,0.4,1.4,5.0,610,13.7
Khem Birch,6667500,C,30,TOR,20,0,8.1,1.0,1.6,0.1,0.1,0.9,1.5,0.4,0.9,0.4,0.3,0.3,1.2,2.2,162,9.4
Bennedict Mathurin,6586800,SG,20,IND,78,17,28.5,5.3,12.2,1.3,4.0,4.0,8.2,1.1,3.0,1.5,0.6,0.2,2.1,16.7,2222,13.1
Bruce Brown,6479000,SF,26,DEN,80,31,28.5,4.5,9.3,1.1,3.2,3.3,6.1,0.8,3.3,3.4,1.1,0.6,2.4,11.5,2280,13.3
Caleb Martin,6479000,SF,27,MIA,71,49,29.3,3.6,7.7,1.2,3.3,2.4,4.4,1.2,3.6,1.6,1.0,0.4,2.0,9.6,2077,11.4
Joe Ingles,6479000,SF,35,MIL,46,0,22.7,2.3,5.4,1.8,4.4,0.5,1.0,0.3,2.5,3.3,0.7,0.1,1.6,6.9,1044,10.7
Onyeka Okongwu,6395160,C,22,ATL,80,18,23.1,4.0,6.2,0.1,0.2,3.9,6.1,2.7,4.5,1.0,0.7,1.3,3.1,9.9,1849,19.4
Josh Giddey,6287400,PF,20,OKC,76,76,31.1,7.1,14.7,1.0,3.1,6.1,11.6,1.9,5.9,6.2,0.8,0.4,1.9,16.6,2367,17.1
Rui Hachimura,6263188,PF,24,LAL/WAS,63,9,23.3,4.5,9.3,0.8,2.5,3.7,6.7,0.8,3.7,0.9,0.3,0.4,1.1,11.2,1466,13.2
Rudy Gay,6184500,PF,36,UTA,56,0,14.6,1.9,5.1,0.6,2.3,1.4,2.8,0.6,2.3,1.0,0.3,0.3,1.2,5.2,816,9.0
Jevon Carter,6025000,PG,27,MIL,81,39,22.3,3.0,7.0,1.8,4.2,1.2,2.8,0.4,2.1,2.4,0.8,0.4,2.0,8.0,1810,10.9
Shaedon Sharpe,6012960,SG,19,POR,80,15,22.2,3.8,8.1,1.3,3.5,2.6,4.6,0.8,2.2,1.2,0.5,0.3,1.7,9.9,1779,11.5
Cameron Payne,6000000,PG,28,PHO,48,15,20.2,3.9,9.4,1.4,3.9,2.5,5.6,0.3,2.0,4.5,0.7,0.2,1.8,10.3,968,13.2
Justin Holiday,5987975,SF,33,DAL/ATL,46,2,15.3,1.7,4.4,1.0,3.1,0.7,1.3,0.1,1.1,0.9,0.4,0.4,1.5,4.5,706,6.6
Cam Reddish,5954454,SF,23,NYK/POR,40,20,24.8,3.5,7.8,1.1,3.6,2.4,4.2,0.5,1.8,1.4,1.0,0.4,1.8,9.7,990,10.6
Cameron Johnson,5887899,PF,26,BRK/PHO,42,41,28.5,5.3,11.3,2.5,6.1,2.9,5.2,0.8,3.6,1.9,1.2,0.3,2.0,15.5,1199,17.1
Ricky Rubio,5853659,PG,32,CLE,33,2,17.2,1.8,5.4,0.6,2.5,1.2,2.9,0.3,1.8,3.5,0.8,0.2,1.5,5.2,566,10.4
Killian Hayes,5837760,PG,21,DET,76,56,28.3,4.0,10.7,1.1,3.8,3.0,7.0,0.4,2.5,6.2,1.4,0.4,2.9,10.3,2154,10.2
Jonathan Kuminga,5739840,PF,20,GSW,67,16,20.8,3.9,7.4,0.8,2.2,3.1,5.2,1.0,2.4,1.9,0.6,0.5,2.3,9.9,1394,13.3
Pat Connaughton,5728393,SF,30,MIL,61,33,23.7,2.7,6.9,1.8,5.3,0.9,1.6,0.8,3.8,1.3,0.6,0.2,1.1,7.6,1443,10.0
Tyler Herro,5722116,SG,23,MIA,67,67,34.9,7.3,16.6,3.0,8.0,4.2,8.5,0.4,5.0,4.2,0.8,0.2,1.5,20.1,2337,15.3
Romeo Langford,5634257,SG,23,SAS,43,21,19.6,2.8,6.0,0.4,1.4,2.4,4.6,1.3,1.3,1.2,0.6,0.3,1.6,6.9,844,10.4
Dyson Daniels,5508600,PG,19,NOP,59,11,17.7,1.5,3.5,0.5,1.5,1.0,2.1,0.6,2.6,2.3,0.7,0.2,1.7,3.8,1042,8.8
JaVale McGee,5461219,C,35,DAL,42,7,8.5,1.9,3.0,0.0,0.1,1.9,2.9,0.7,1.8,0.3,0.1,0.6,1.3,4.4,355,17.2
Goga Bitadze,5377520,C,23,ORL/IND,38,1,12.0,1.8,3.3,0.2,0.7,1.7,2.6,1.6,2.0,1.0,0.4,0.7,1.7,4.4,457,17.1
Obi Toppin,5348280,PF,24,NYK,67,5,15.7,2.8,6.3,1.3,3.7,1.5,2.6,0.4,2.4,1.0,0.3,0.2,1.0,7.4,1050,13.6
Franz Wagner,5258280,SF,21,ORL,80,80,32.6,6.8,14.0,1.6,4.5,5.2,9.5,0.9,3.2,3.5,1.0,0.2,2.3,18.6,2609,15.9
Kendrick Nunn,5250000,SG,27,LAL/WAS,70,2,13.8,2.7,6.4,1.1,3.2,1.6,3.2,0.2,1.3,1.3,0.4,0.1,0.9,7.1,964,11.1
Hamidou Diallo,5200000,SF,24,DET,56,0,17.8,3.8,6.7,0.1,0.4,3.8,6.3,1.0,2.4,1.0,0.9,0.3,2.2,9.3,996,15.7
Cory Joseph,5155500,PG,31,DET,62,2,19.8,2.4,5.7,1.1,2.9,1.3,2.8,0.3,1.4,3.5,0.5,0.1,1.4,6.9,1227,12.1
Garrett Temple,5155500,SG,36,NOP,25,0,6.5,0.7,1.8,0.4,1.0,0.3,0.8,0.2,0.5,0.5,0.4,0.1,0.6,2.0,162,10.5
Torrey Craig,5121951,PF,32,PHO,79,60,24.7,2.9,6.3,1.3,3.2,1.6,3.1,1.8,3.6,1.5,0.6,0.8,2.3,7.4,1948,11.6
Jeremy Sochan,5063520,PF,19,SAS,56,53,26.0,4.5,9.9,0.6,2.4,3.9,7.5,1.7,3.6,2.5,0.8,0.4,2.5,11.0,1458,11.4
Nickeil Alexander-Walker,5009633,SG,24,MIN/UTA,59,3,15.0,2.2,5.0,1.0,2.7,1.2,2.3,0.3,1.5,1.8,0.5,0.4,1.5,6.2,884,11.6
Furkan Korkmaz,5000000,SG,25,PHI,37,0,9.5,1.3,3.0,0.5,1.2,0.8,1.8,0.2,1.0,0.6,0.3,0.1,0.5,3.8,353,9.3
Deni Avdija,4916160,SF,22,WAS,76,40,26.6,3.3,7.6,0.9,3.1,2.4,4.6,1.0,5.4,2.8,0.9,0.4,2.8,9.2,2020,11.2
Davion Mitchell,4833600,PG,24,SAC,80,9,18.1,2.3,5.0,0.8,2.5,1.5,2.5,0.2,1.1,2.3,0.6,0.2,1.4,5.6,1447,9.4
Johnny Davis,4810320,SG,20,WAS,28,5,15.1,2.4,6.1,0.6,2.5,1.8,3.6,0.4,2.0,1.0,0.4,0.3,1.7,5.8,423,7.2
Ty Jerome,4728948,SG,25,GSW,45,2,18.1,2.6,5.4,0.8,2.0,1.8,3.4,0.2,1.6,3.0,0.5,0.1,1.4,6.9,816,12.8
Jalen Smith,4670160,C,22,IND,68,31,18.8,3.6,7.5,0.8,2.8,2.8,4.7,1.9,3.9,1.0,0.3,0.9,2.3,9.4,1279,15.9
Ziaire Williams,4591680,SF,21,MEM,37,4,15.2,2.3,5.3,0.7,2.6,1.6,2.7,0.4,1.7,0.9,0.4,0.2,1.6,5.7,561,7.4
Ousmane Dieng,4569840,PF,19,OKC,39,1,14.6,1.9,4.6,0.7,2.5,1.3,2.1,0.5,2.2,1.2,0.4,0.2,1.1,4.9,569,9.3
Jeff Green,4500000,PF,36,DEN,56,4,19.5,2.9,5.9,0.5,1.9,2.3,4.0,0.7,1.9,1.2,0.3,0.3,1.8,7.8,1091,11.0
Donte DiVincenzo,4500000,SG,26,GSW,72,36,26.3,3.3,7.5,2.1,5.3,1.2,2.3,1.1,3.4,3.5,1.3,0.1,1.8,9.4,1894,12.8
Devin Vassell,4437000,SG,22,SAS,38,32,31.0,6.9,15.7,2.7,7.0,4.2,8.7,0.2,3.7,3.6,1.1,0.4,1.5,18.5,1178,15.5
Matisse Thybulle,4379526,SF-SG,25,PHI/POR,71,28,16.9,1.5,3.6,0.8,2.1,0.8,1.5,0.6,1.4,0.7,1.2,0.5,1.6,4.1,1200,10.5
Jarred Vanderbilt,4374000,PF,23,LAL/UTA,78,65,24.1,3.2,5.8,0.4,1.2,2.8,4.6,2.2,5.3,2.4,1.1,0.3,2.4,7.9,1879,15.1
James Bouknight,4362240,SG,22,CHO,34,0,15.1,2.0,5.7,1.0,3.2,1.1,2.5,0.2,1.9,1.2,0.4,0.1,1.4,5.6,515,6.2
Brandon Clarke,4343919,PF,26,MEM,56,8,19.5,4.1,6.2,0.0,0.1,4.1,6.1,1.6,3.9,1.3,0.6,0.7,2.3,10.0,1090,20.0
Jalen Williams,4341480,SG,21,OKC,75,62,30.3,5.5,10.6,1.0,2.7,4.5,7.9,1.1,3.4,3.3,1.4,0.5,2.5,14.1,2276,15.6
Grant Williams,4306281,PF,24,BOS,79,23,25.9,2.7,6.0,1.5,3.7,1.3,2.3,1.1,3.5,1.7,0.5,0.4,2.4,8.1,2045,10.3
Darius Bazley,4264628,C,22,OKC/PHO,43,1,14.3,1.9,4.3,0.5,1.2,1.5,3.0,0.8,2.4,0.9,0.5,0.8,1.0,5.2,616,13.1
Tyrese Haliburton,4215120,PG,22,IND,56,56,33.6,7.4,15.0,2.9,7.2,4.5,7.8,0.6,3.1,10.4,1.6,0.4,1.2,20.7,1883,23.6
Nassir Little,4171548,SF,22,POR,54,4,18.1,2.5,5.6,1.1,2.9,1.4,2.7,0.5,2.1,0.9,0.4,0.4,1.2,6.6,976,10.2
Jalen Duren,4124280,C,19,DET,67,31,24.9,3.9,5.9,0.0,0.0,3.9,5.9,3.4,5.5,1.1,0.7,0.9,2.7,9.1,1670,17.3
Gorgui Dieng,4105236,C,33,SAS,31,1,11.5,1.5,3.8,0.7,2.4,0.8,1.4,0.9,2.6,1.7,0.1,0.5,1.8,3.9,358,9.9
Justise Winslow,4097561,PF,26,POR,29,11,26.8,2.8,6.8,0.5,1.6,2.3,5.3,1.7,3.3,3.4,1.0,0.4,3.1,6.8,776,9.3
Dylan Windler,4037277,SF,26,CLE,3,0,3.3,0.7,1.0,0.3,0.7,0.3,0.3,0.0,0.0,0.3,0.3,0.0,0.0,1.7,10,19.0
Stanley Johnson,4022164,SF,26,SAS,30,0,15.6,2.2,4.1,0.6,1.3,1.6,2.7,0.7,2.4,2.2,0.5,0.2,1.6,5.8,469,13.5
George Hill,4000000,PG-SG,36,MIL/IND,46,1,18.1,1.7,3.6,0.7,2.1,1.0,1.5,0.3,1.5,2.4,0.6,0.1,1.2,5.0,834,10.6
Terence Davis,4000000,SG,25,SAC,64,5,13.1,2.4,5.7,1.4,3.8,1.0,1.9,0.3,1.9,1.0,0.7,0.2,1.6,6.7,841,12.9
Chris Duarte,3936960,SF,25,IND,46,12,19.5,2.7,7.2,1.2,3.8,1.5,3.5,0.4,2.1,1.4,0.5,0.2,1.4,7.9,897,8.6
Alex Len,3918600,C,29,SAC,26,2,6.2,0.6,1.2,0.0,0.1,0.6,1.1,0.9,1.4,0.5,0.2,0.4,1.1,1.7,161,12.8
Ochai Agbaji,3918360,SG,22,UTA,59,22,20.5,2.8,6.5,1.4,3.9,1.4,2.7,0.7,1.3,1.1,0.3,0.3,1.7,7.9,1209,9.5
